Company,Date,Close/Last,Volume,Open,High,Low,Anomaly
NFLX,2022-01-20,508.25,12658990,517.75,526.64,506.93,-1
NFLX,2022-01-19,515.86,4353508,515.0,523.21,510.51,-1
NFLX,2022-01-18,510.8,4844418,520.08,521.75,508.68,-1
NFLX,2022-01-14,525.69,7861109,517.6,538.37,511.88,-1
NFLX,2022-01-13,519.2,4475063,537.06,540.79,518.26,-1
NFLX,2021-12-31,602.44,1995918,610.01,614.075,602.05,-1
NFLX,2021-12-30,612.09,1625093,612.99,620.61,611.2401,-1
NFLX,2021-12-29,610.54,1287513,610.71,613.98,604.68,-1
NFLX,2021-12-28,610.71,1884116,614.95,618.41,609.69,-1
NFLX,2021-12-27,613.12,2062233,615.0,615.0,609.25,-1
NFLX,2021-12-23,614.09,1621146,616.4,616.88,607.57,-1
NFLX,2021-12-22,614.24,2335745,603.36,614.82,602.63,-1
NFLX,2021-12-21,604.92,2319390,597.5434,607.82,593.8611,-1
NFLX,2021-12-20,593.74,3358404,586.43,602.8847,584.26,-1
NFLX,2021-12-17,586.73,4433706,591.61,593.25,581.74,-1
NFLX,2021-12-16,591.06,3143217,597.09,602.8308,588.0,-1
NFLX,2021-12-15,605.04,2866196,598.18,605.69,584.51,-1
NFLX,2021-12-14,597.99,2984536,598.71,602.29,588.13,-1
NFLX,2021-12-13,604.56,2517915,612.0,612.64,599.52,-1
NFLX,2021-11-30,641.9,5608919,668.198,675.38,640.01,-1
NFLX,2021-11-29,663.84,2529364,663.2,667.99,658.29,-1
NFLX,2021-11-26,665.64,2872513,675.0,676.405,660.67,-1
NFLX,2021-11-24,658.29,1867282,658.01,661.44,651.1,-1
NFLX,2021-11-23,654.06,2320917,658.18,666.43,646.05,-1
NFLX,2021-11-22,659.2,2765318,676.02,679.48,656.47,-1
NFLX,2021-11-19,678.8,2614852,692.35,694.16,675.0,-1
NFLX,2021-11-18,682.02,2014992,691.61,691.74,679.735,-1
NFLX,2021-11-17,691.69,2732831,690.0,700.9894,686.09,-1
NFLX,2021-11-16,687.4,2077387,678.27,688.3599,676.9,-1
NFLX,2021-11-15,679.33,2872186,681.235,685.2599,671.49,-1
NFLX,2021-10-29,690.31,3825279,673.06,690.9699,671.24,-1
NFLX,2021-10-28,674.05,2859409,670.949,676.8,668.03,-1
NFLX,2021-10-27,662.92,2276914,669.0,671.41,661.85,-1
NFLX,2021-10-26,668.52,2904840,673.76,676.4899,662.77,-1
NFLX,2021-10-25,671.66,3833526,663.74,675.88,657.07,-1
NFLX,2021-10-22,664.78,6186016,651.81,665.46,651.81,-1
NFLX,2021-10-21,653.16,8437070,628.89,654.01,628.65,-1
NFLX,2021-10-20,625.14,10622000,625.573,637.4,617.15,-1
NFLX,2021-10-19,639.0,7633147,636.969,641.0,632.3,-1
NFLX,2021-10-18,637.97,4669071,632.1,638.41,620.5901,-1
NFLX,2021-10-15,628.29,4116874,638.0,639.42,625.16,-1
NFLX,2021-10-14,633.8,2672535,632.23,636.88,626.79,-1
NFLX,2021-10-13,629.76,2424638,632.1791,632.1791,622.1,-1
NFLX,2021-09-30,610.34,6616040,608.05,619.0,608.05,-1
NFLX,2021-09-29,599.06,6221026,589.01,609.8799,588.01,-1
NFLX,2021-09-28,583.85,4431051,589.0,599.5353,580.16,-1
NFLX,2021-09-27,592.64,2504738,587.95,593.58,576.93,-1
NFLX,2021-09-24,592.39,2126246,592.5,592.98,583.64,-1
NFLX,2021-09-23,593.26,2526161,590.79,599.32,589.1301,-1
NFLX,2021-09-22,590.65,4021845,579.69,595.65,579.69,-1
NFLX,2021-09-21,573.14,2250884,578.31,581.88,569.37,-1
NFLX,2021-09-20,575.43,3732227,586.79,591.53,568.08,-1
NFLX,2021-09-17,589.35,4145145,587.85,590.28,580.8501,-1
NFLX,2021-09-16,586.5,1832028,584.3,587.48,577.72,-1
NFLX,2021-09-15,582.87,2755615,578.17,584.62,575.37,-1
NFLX,2021-09-14,577.76,3456958,584.89,587.28,575.56,-1
NFLX,2021-09-13,589.29,3062871,598.57,598.57,582.775,-1
NFLX,2021-08-31,569.19,2431886,566.12,569.48,561.611,-1
NFLX,2021-08-30,566.18,2434839,557.25,567.1648,556.45,-1
NFLX,2021-08-27,558.92,3252595,551.6,564.17,549.25,-1
NFLX,2021-08-26,550.12,1595499,546.16,552.604,545.9,-1
NFLX,2021-08-25,547.58,2065621,550.16,552.84,545.45,-1
NFLX,2021-08-24,553.41,2109525,551.484,555.3141,549.27,-1
NFLX,2021-08-23,553.33,2602010,545.98,555.55,543.74,-1
NFLX,2021-08-20,546.88,3776429,545.09,551.3883,539.1,-1
NFLX,2021-08-19,543.71,7497292,522.74,548.39,521.87,-1
NFLX,2021-08-18,521.87,2582046,520.0,526.38,518.65,-1
NFLX,2021-08-17,518.91,2309803,515.465,520.79,514.2,-1
NFLX,2021-08-16,517.92,2033176,515.24,523.38,512.3,-1
NFLX,2021-08-13,515.92,2177736,512.64,521.44,511.51,-1
NFLX,2021-07-29,514.25,1736014,519.96,520.7799,513.7927,-1
NFLX,2021-07-28,519.3,2390466,521.82,524.47,516.98,-1
NFLX,2021-07-27,518.91,2759037,518.08,521.95,512.05,-1
NFLX,2021-07-26,516.49,2254538,514.38,521.13,509.0101,-1
NFLX,2021-07-22,511.77,4328061,510.206,513.68,507.0,-1
NFLX,2021-07-21,513.63,11906790,526.13,530.99,505.61,-1
NFLX,2021-07-20,531.05,6930440,526.07,536.64,520.3,-1
NFLX,2021-07-19,532.28,3885764,526.05,534.913,522.2401,-1
NFLX,2021-07-16,530.31,3442101,541.81,544.06,527.05,-1
NFLX,2021-07-15,542.95,5713873,553.97,557.5399,538.2,-1
NFLX,2021-07-14,547.95,4659535,541.01,554.1,541.01,-1
NFLX,2021-07-13,540.68,2751593,535.76,545.33,535.76,-1
NFLX,2021-06-30,528.21,2773445,534.055,534.38,526.82,-1
NFLX,2021-06-29,533.5,2314647,533.55,536.13,528.57,-1
NFLX,2021-06-28,533.03,2820227,528.12,533.9399,524.56,-1
NFLX,2021-06-25,527.07,5299072,528.84,533.06,525.0,-1
NFLX,2021-06-24,518.06,3361202,517.96,520.96,514.4001,-1
NFLX,2021-04-29,509.0,5127792,507.6,509.29,499.0,-1
NFLX,2021-04-23,505.55,7314659,509.01,509.7,500.7,-1
NFLX,2021-04-22,508.78,9061062,513.82,513.96,500.55,-1
NFLX,2021-04-21,508.9,22897450,508.0,515.46,503.6001,-1
NFLX,2021-04-20,549.57,11257650,554.42,563.56,546.3,-1
NFLX,2021-04-19,554.44,4288715,546.9,556.44,545.53,-1
NFLX,2021-04-16,546.54,3209075,550.54,551.98,539.51,-1
NFLX,2021-04-15,549.22,3139050,544.17,553.49,542.66,-1
NFLX,2021-04-14,540.02,3740294,554.87,554.87,538.53,-1
NFLX,2021-04-13,553.73,2720344,557.0,559.75,550.3,-1
NFLX,2021-03-31,521.66,3503111,515.675,528.13,515.44,-1
NFLX,2021-03-30,513.39,2418129,510.505,514.41,506.91,-1
NFLX,2021-03-25,502.86,4926764,516.99,518.53,497.0,-1
NFLX,2021-03-24,520.81,4102211,533.78,534.42,520.0,-1
NFLX,2021-03-23,535.09,5583461,529.87,543.12,529.4,-1
NFLX,2021-03-18,504.79,4096606,516.396,517.9,503.85,-1
NFLX,2021-03-16,524.03,3238888,524.47,533.42,523.21,-1
NFLX,2021-03-15,520.25,3485519,516.32,520.729,508.03,-1
NFLX,2021-02-26,538.85,3755574,546.51,553.09,538.0,-1
NFLX,2021-02-25,546.7,4252879,550.27,556.48,535.75,-1
NFLX,2021-02-24,553.41,3245038,539.8,556.8499,539.065,-1
NFLX,2021-02-23,546.15,4136532,525.004,548.54,518.28,-1
NFLX,2021-02-22,533.78,3078594,534.99,541.79,530.79,-1
NFLX,2021-02-19,540.22,2841457,548.0,548.99,538.8132,-1
NFLX,2021-02-18,548.22,2457604,549.0,550.0,538.2265,-1
NFLX,2021-02-17,551.34,2071590,550.99,555.25,543.03,-1
NFLX,2021-02-16,557.28,2624097,557.286,563.63,552.73,-1
NFLX,2021-01-29,532.39,4325264,538.0,541.0,530.18,-1
NFLX,2021-01-28,538.6,5968978,535.88,553.1482,530.74,-1
NFLX,2021-01-27,523.28,8670277,550.71,556.4187,515.73,-1
NFLX,2021-01-26,561.93,5023847,554.73,567.99,554.06,-1
NFLX,2021-01-25,556.78,7207329,567.0,569.75,548.65,-1
NFLX,2021-01-22,565.17,7550822,582.1,583.99,564.35,-1
NFLX,2021-01-21,579.84,11840630,582.45,588.75,570.4,-1
NFLX,2021-01-20,586.34,32637450,565.42,593.2877,556.86,-1
NFLX,2021-01-19,501.77,12315810,501.0,509.25,493.5427,-1
NFLX,2020-12-31,540.73,5392322,525.53,545.5,523.1502,-1
NFLX,2020-12-30,524.59,1876286,530.13,533.2575,523.69,-1
NFLX,2020-12-29,530.87,4022358,519.9,536.5478,515.4801,-1
NFLX,2020-12-28,519.12,2891867,516.43,523.66,507.13,-1
NFLX,2020-12-24,513.97,1143952,515.12,519.345,512.2104,-1
NFLX,2020-12-23,514.48,2393187,524.76,526.32,514.2,-1
NFLX,2020-12-22,527.33,1908529,527.69,530.4,520.5,-1
NFLX,2020-12-21,528.91,3893964,530.05,532.62,521.15,-1
NFLX,2020-12-18,534.45,4502692,533.2,536.37,526.02,-1
NFLX,2020-12-17,532.9,3193377,529.0,535.49,526.44,-1
NFLX,2020-12-16,524.83,3682392,520.11,527.38,517.69,-1
NFLX,2020-12-15,519.78,3398209,518.5,524.7,513.56,-1
NFLX,2020-12-14,522.42,5770424,505.44,524.1603,501.18,-1
NFLX,2020-10-21,489.05,17405710,501.03,506.85,488.25,-1
NFLX,2020-10-20,525.42,10047180,528.14,533.78,522.26,-1
NFLX,2020-10-19,530.72,7567506,537.07,541.8,525.38,-1
NFLX,2020-10-16,530.79,6347363,549.5,554.33,530.03,-1
NFLX,2020-10-15,541.94,5113126,545.52,551.22,535.1,-1
NFLX,2020-10-14,541.45,9510081,562.61,572.49,541.0,-1
NFLX,2020-10-13,554.09,5602498,540.56,557.65,537.2,-1
NFLX,2020-08-31,529.56,4941409,521.16,531.99,517.58,-1
NFLX,2020-08-28,523.89,4417517,532.0,539.0,522.0,-1
NFLX,2020-08-27,526.27,9062912,537.775,541.0,521.2471,-1
NFLX,2020-08-26,547.53,20373680,492.5,549.04,492.075,-1
NFLX,2020-07-21,490.1,9127218,506.0,506.22,488.61,-1
NFLX,2020-07-17,492.99,24991350,494.87,503.59,484.14,-1
NFLX,2020-07-16,527.39,24498990,526.48,535.54,504.3627,-1
NFLX,2020-07-15,523.26,10066650,516.3,529.0,510.18,-1
NFLX,2020-07-14,524.88,15083300,517.08,525.5,490.49,-1
NFLX,2020-07-13,525.5,18399020,567.98,575.37,520.96,-1
